Title,Author,Info,Link,Author Link
NEW YORK MARATONU 101,Servet Can Demirel,"Her hafta sonu gidiyormuşçasına, New York Maratonu'na hazırlık. ",http://www.socratesdergi.com/2015/10/28/new-york-maratonu-101/,http://www.socratesdergi.com/author/scandemirel/
Serena Olmayınca,Socrates,2015 WTA Tur Finalleri başladı. Ancak kadın tenisinin en iyi sekiz oyuncusu arasında gerçek bir ‘en iyi’ bulmak pek mümkün gözükmüyor.,http://www.socratesdergi.com/2015/10/27/serena-olmayinca/,http://www.socratesdergi.com/author/socratesdergi/
Lider oyuncu,Socrates,"Oğuz Çetin, Socrates'e verdiği röportajda bir takımın lider oyuncusunun nasıl belirlenmesi gerektiğini anlattı.",http://www.socratesdergi.com/2015/10/26/lider-oyuncu/,http://www.socratesdergi.com/author/socratesdergi/
Aynı takımda 100!,Kutay Ersöz,"Joe Hart, Manchester City tarihinde kendine özel bir yer edindi.  Onun gibi dört kaleci ve City gibi dört takım daha var.",http://www.socratesdergi.com/2015/10/26/ayni-takimda-100/,http://www.socratesdergi.com/author/kutayersoz/
SEZON BİTERKEN,Socrates,"Pelotonun olağan şüphelilerinden Bauke Mollema, geride bıraktığı bisikleti sezonunu değerlendirdi.",http://www.socratesdergi.com/2015/10/26/sezon-biterken/,http://www.socratesdergi.com/author/socratesdergi/
Upton Park’ta güzel anılar,Socrates,Chelsea'yi 2-1 yenerek üç puana uzanan Slaven Bilic'in galibiyetler dışında başka hedefleri de var.,http://www.socratesdergi.com/2015/10/24/upton-parkta-guzel-anilar/,http://www.socratesdergi.com/author/socratesdergi/
Kadrolu Kadro Dışı,Kutay Ersöz,Batuhan bir takımda daha kadro dışı kaldı. Kariyeri sona erdiğinde; attığı gollerden çok kadro dışı kalma anılarını biriktirmiş olacak.,http://www.socratesdergi.com/2015/10/24/kadrolu-kadro-disi/,http://www.socratesdergi.com/author/kutayersoz/
BÖYLESİ DAHA GÜZEL,Ozan Can Sülüm,"Koşarken kimseye ihtiyacınız yok. Kendiniz programlayın, pişirin, yiyin. Her şey sizin için.",http://www.socratesdergi.com/2015/10/23/boylesi-daha-guzel/,http://www.socratesdergi.com/author/ozancansulum/
Her şeye rağmen 1 numara,Kutay Ersöz,"Keylor Navas, Real Madrid'deki ikinci sezonunda rekorları alt üst etmeye devam ediyor. Üstelik hâlâ takımın en önemli isimlerinden biri olmamasına rağmen...",http://www.socratesdergi.com/2015/10/22/her-seye-ragmen-1-numara/,http://www.socratesdergi.com/author/kutayersoz/
Son dakika,Kutay Ersöz,Türkiye futbolu bir kuşağını daha heba ediyordu. Son dakikadaki frikik golünün farklı bir anlamı daha olabilir.,http://www.socratesdergi.com/2015/10/21/son-dakika/,http://www.socratesdergi.com/author/kutayersoz/
ÇOK SEVDİK BE ABİ,Bertan Kılıçcıoğlu,"Bazıları için 90'lardan silik bir anı, birçoğu için ise ondan çok daha fazlası. Back To The Future hayranlarının yıllanmış sevgisi bu ay patlama yapabilir, korkmayın...",http://www.socratesdergi.com/2015/10/21/cok-sevdik-be-abi/,http://www.socratesdergi.com/author/kbertan/
Ölümün Kıyısında,Servet Can Demirel,"'Near-death experience' yani ölüme en yakın deneyim. Başlığın, koştuğum Gelibolu Maratonu ile bir ilgisi var!",http://www.socratesdergi.com/2015/10/21/olumun-kiyisinda/,http://www.socratesdergi.com/author/scandemirel/
BU HAFTA NE İZLEYELİM?,Socrates,"Spor takvimi kalabalık, yelpaze çeşitli. Bu hafta ne izleyelim? Yardımcı olmaya çalıştık. ",http://www.socratesdergi.com/2015/10/21/bu-hafta-ne-izleyelim-3/,http://www.socratesdergi.com/author/socratesdergi/
Pıt Pıt Atıyor Kalbim,Servet Can Demirel,Kendi kendinize koşuyor olsanız da bazı şeylere dikkat etmeniz gerek. Nabız ölçümleri de onlardan biri.,http://www.socratesdergi.com/2015/10/19/pit-pit-atiyor-kalbim/,http://www.socratesdergi.com/author/scandemirel/
Ben Kimim Ki Koşuyorum!,Servet Can Demirel,"Sporla iç içe bir hayatın, koşuyla tanışma hikâyesi...",http://www.socratesdergi.com/2015/10/19/ben-kimim-ki-kosuyorum/,http://www.socratesdergi.com/author/scandemirel/
RUHANİ PRATİK OLARAK KOŞMAK,Ozan Can Sülüm,Koşmak bir hayatı nasıl değiştirebilir? Yaşayandan öğreniyoruz. ,http://www.socratesdergi.com/2015/10/19/ruhani-pratik-olarak-kosmak/,http://www.socratesdergi.com/author/ozancansulum/
Koşmanın Doğası,Ozan Can Sülüm,"Evdeki eski eşofmanı giyip birkaç tur koşmanızla başlayan süreç, profesyonelliğe kadar uzanabilir. Ne de olsa koşmanın doğasında var.",http://www.socratesdergi.com/2015/10/19/kosmanin-dogasi/,http://www.socratesdergi.com/author/ozancansulum/
FC ANKARA: KARAORMAN DESTANI,Socrates,"Almanya'ya göç eden işçiler tarafından kurulan FC Ankara, her zaman futbol sevdasından daha fazlasını anlattı. 50 yıllık mazisi olan ekibi Mutlu Kızılbuga yazdı. ",http://www.socratesdergi.com/2015/10/18/fc-ankara-karaorman-destani/,http://www.socratesdergi.com/author/socratesdergi/
Lamar Odom’ın Yetenekleri ve Hayaletleri,Socrates,"Lamar Odom, ortadan kayboluşlarına bir yenisini ekledi. ",http://www.socratesdergi.com/2015/10/16/lamar-odomin-yetenekleri-ve-hayaletleri/,http://www.socratesdergi.com/author/socratesdergi/
Filmin koptuğu an,Socrates,"Son dakika golleri Türkiye'nin geleneği oldu. 2008'in yıldızı Semih Şentürk, 2015'in kahramanı Selçuk'un golünü yorumladı.",http://www.socratesdergi.com/2015/10/16/filmin-koptugu-an/,http://www.socratesdergi.com/author/socratesdergi/
Ve Söz Arsene Wenger’de,Socrates,"Arsene Wenger, Arsenal'in başındaki 19. yılında konuştu. Fransız teknik adam geçmişi ve geleceği değerlendirdi. ",http://www.socratesdergi.com/2015/10/16/basarinin-sirri/,http://www.socratesdergi.com/author/socratesdergi/
Şansını Kendi Yaratanlar,Kutay Ersöz,Euro 2016'nın son dönemeci Terim'in istediği gibi sona erdi. Kusursuz bitirişin ardında şanstan daha fazlası olabilir.,http://www.socratesdergi.com/2015/10/15/sansini-kendi-yaratanlar/,http://www.socratesdergi.com/author/kutayersoz/
Öz Büyücüsü,Socrates,"Estetik ve zarafet kavramlarının yeşil sahalardaki temsilcilerinden Mesut Özil'i, Jonathan Wilson yazdı. ",http://www.socratesdergi.com/2015/10/15/oz-buyucusu/,http://www.socratesdergi.com/author/socratesdergi/
BU HAFTA NE İZLEYELİM?,Socrates,"Çoğu lig ve turnuvanın başlangıcına, milli maç arasının bitişi de eklenince spor programı yoğunlaşıyor. Haftanın öne çıkanlarını derledik. ",http://www.socratesdergi.com/2015/10/14/bu-hafta-ne-izleyelim-2/,http://www.socratesdergi.com/author/socratesdergi/
Tarihte ilk tarihte tek,Kutay Ersöz,"Türkiye, İzlanda'yı tarihinde bir kez mağlup edebildi. O karşılaşmanın devamında ilk Avrupa Şampiyonası tecrübesi yaşandı.",http://www.socratesdergi.com/2015/10/12/tarihte-ilk-tarihte-tek/,http://www.socratesdergi.com/author/kutayersoz/
Zeki ama çalışmıyor,Socrates,Portakallar dibe vurdu. Hollanda Milli Takımı'nın düştüğü durumu Simon Kuper değerlendirdi.,http://www.socratesdergi.com/2015/10/09/zeki-ama-calismiyor/,http://www.socratesdergi.com/author/socratesdergi/
Soyunma Odasındaki Silahlar,Socrates,Arenas liderliğindeki Washington Wizards 2009'da soyunma odasındaki silahlı kavga sonucu dağılmıştı. Caron Butler o günleri anlattı.,http://www.socratesdergi.com/2015/10/08/soyunma-odasindaki-silahlar/,http://www.socratesdergi.com/author/socratesdergi/
1983’ün en uzun gecesi,Kutay Ersöz,"Hollandalılar, Çekler'e mail yolladı mı? Onu bilmiyoruz ama son kırk senede katılamadıkları tek Avrupa Şampiyonası macerasında şike tartışmaları sonlanmadı.",http://www.socratesdergi.com/2015/10/07/1983un-en-uzun-gecesi/,http://www.socratesdergi.com/author/kutayersoz/
Çaylağın hayatta kalma rehberi,Socrates,"Portland tarafından 2013 yılında draft edilen C. J. McCollum, tüm NBA oyuncularının geçmek zorunda olduğu kritik eşiği, yani 'çaylak sezonu'nu yazdı.",http://www.socratesdergi.com/2015/10/07/caylagin-hayatta-kalma-rehberi/,http://www.socratesdergi.com/author/socratesdergi/
Yenilmezlerin Maçı,Socrates,"Ronda Rousey henüz hiç kaybetmedi. Rakip zorlu, bakalım bu kez senaryo değişecek mi?",http://www.socratesdergi.com/2015/10/06/yenilmezlerin-maci/,http://www.socratesdergi.com/author/socratesdergi/
BU HAFTA NE İZLEYELİM?,Socrates,Her daim yoğun olan spor takvimi başınızı mı döndürüyor? Yardımcı olmaya çalıştık.  İşte haftanın programı...,http://www.socratesdergi.com/2015/10/06/bu-hafta-ne-izleyelim/,http://www.socratesdergi.com/author/socratesdergi/
BİTTİ,Socrates,"Liverpool'da Jürgen Klopp dümeni devralmaya hazırlanıyor. Peki, Brendan Rodgers nerede hata yaptı? Jonathan Wilson'ın kaleminden... ",http://www.socratesdergi.com/2015/10/05/bitti/,http://www.socratesdergi.com/author/socratesdergi/
PREMIER LİG’İN GENÇ GOLCÜLERİ,Kutay Ersöz,"Romelu Lukaku, Premier Lig tarihine geçmeye hazırlanıyor. Lig, genç golcüler yaratma konusunda her zaman maharetliydi ve sıra Lukaku'ya geldi.",http://www.socratesdergi.com/2015/10/05/premier-ligin-genc-golculeri/,http://www.socratesdergi.com/author/kutayersoz/
Geçim Sıkıntısı,Socrates,Büyük şehirde yaşamak bazen çok masraflı olabiliyor. Bir NBA oyuncusu için bile…,http://www.socratesdergi.com/2015/10/03/gecim-sikintisi/,http://www.socratesdergi.com/author/socratesdergi/
Wenger’in Gözlerinde Aşk,Uğur Meleke,"Arsene Wenger, 19 yıl önce bu hafta Arsenal'in başına getirildi. Uğur Meleke, Temmuz sayısında Wenger ile tanıştığı günü anlatmıştı.",http://www.socratesdergi.com/2015/10/02/wengerin-gozlerinde-ask/,http://www.socratesdergi.com/author/ugurmeleke/
TELEVİZYONLARINI YENİ AÇANLAR İÇİN…,Caner Eler,Socrates'in yedinci sayısında ana konu: Medya. ,http://www.socratesdergi.com/2015/10/01/televizyonlarini-yeni-acanlar-icin/,http://www.socratesdergi.com/author/canereler/
PLATINI KRİZİ,Socrates,FIFA'nın başındaki soruşturmalara son halka olarak Michel Platini eklendi. Birkaç soruda futbolun yönetimsel zirvesinde neler olduğuna bakıyoruz. ,http://www.socratesdergi.com/2015/10/01/platini-krizi/,http://www.socratesdergi.com/author/socratesdergi/
AsIcs Çeşme Weekend,Root,Asics Reklam,http://www.asicscesmeweekend.com,http://www.socratesdergi.com/author/root/
“Beklentilerin farkındayım”,Aras YETİŞ,"Furkan Korkmaz ilkleri yaşadığı sezonu geride bıraktı. Artık geleceği planlama vakti. EuroBasket 2015'in en genç oyuncusu, Anadolu Efes'in medya gününde Socrates'e konuştu. ",http://www.socratesdergi.com/2015/09/30/beklentilerin-farkindayim/,http://www.socratesdergi.com/author/arasyetis/
Kısa Bir Drogba Filmi,Socrates,Didier Drogba 2012'de Chelsea'ye Şampiyonlar Ligi'ni getirmişti. O anlar film oldu!,http://www.socratesdergi.com/2015/09/30/kisa-bir-drogba-filmi/,http://www.socratesdergi.com/author/socratesdergi/
Davıs Kupası kazanan ilk kasaba?,Socrates,9000 kişilik küçük bir İskoç kasabasının iki yerlisi Britanya’yı tenisin en büyük ülke organizasyonunda finale taşımayı başardı. ,http://www.socratesdergi.com/2015/09/29/davis-kupasi-kazanan-ilk-kasaba/,http://www.socratesdergi.com/author/socratesdergi/
Daha Hızlı,Müthiş Can Ölçer,Sürat Koşusu yılın en prestijli sprint yarışlarından biri. 11 safkan en hızlı olmak için yarışacak.,http://www.socratesdergi.com/2015/09/26/daha-hizli/,http://www.socratesdergi.com/author/muthiscan/
11 Senenin Ardından,Kutay Ersöz,Rizespor tarihindeki hat-trick'lere bir yenisi daha eklendi. Oysa 11 yıldır liste sabit bir şekilde duruyordu.,http://www.socratesdergi.com/2015/09/25/11-senenin-ardindan/,http://www.socratesdergi.com/author/kutayersoz/
Beyaz Perdedeki Maçlar,Emre Atasoy,"Sinema dünyası, uçsuz bucaksız evreninde zaman zaman spor sahalarına da konuk oldu. İşte beyaz perdenin akıllarda kalan 10 maçı...",http://www.socratesdergi.com/2015/09/24/beyaz-perdedeki-maclar/,http://www.socratesdergi.com/author/emre-atasoy/
Gerrard’ın Hikâyesi,Socrates,"Steven Gerrard'ın 'Benim Hikayem' adlı kitabı 24 Eylül'de satışa çıkıyor. Kitabın gölge yazarı Donald McRae, oluşum sürecini aktardı.",http://www.socratesdergi.com/2015/09/23/gerrardin-hikayesi/,http://www.socratesdergi.com/author/socratesdergi/
New York Deplasmanı,Socrates,Djokovic düşmanca bir kalabalığa karşı ikinci Amerika Açık şampiyonluğunu kazandı. Acaba bir gün benzer desteği arkasında görebilecek mi?,http://www.socratesdergi.com/2015/09/23/new-york-deplasmani/,http://www.socratesdergi.com/author/socratesdergi/
Bir Çağ Yangını,Kutay Ersöz,Tahammülsüzlük artık sınırları aştı. Taraftarların kurduğu tahakküm kulüplerin her kademesinde kendisini hissettiriyor.,http://www.socratesdergi.com/2015/09/23/bir-cag-yangini/,http://www.socratesdergi.com/author/kutayersoz/
